Question,Predicted Entity
인사동의 인구는 몇명이야?	,"{'PER': '없음', 'ORG': '없음', 'LOC': '인사동'}"
동탄파라곤아파트의 평균 소득은 얼마야?	,"{'PER': '없음', 'ORG': '동탄파라곤아파트', 'LOC': '없음'}"
수원대림아파트의 준공년도는 언제야?	 ,"{'PER': '', 'ORG': '수원대림아파트', 'LOC': '수원'}"
롯데타워의 가구당 주차대수는 몇 대야?	,"{'PER': '없음', 'ORG': '롯데타워', 'LOC': '없음'}"
63빌딩의 가장 높은 층은 몇 층이야?	,"{'PER': '없음', 'ORG': '63빌딩', 'LOC': '없음'}"
서울대학교를 만든 건설사는 뭐야?	 ,"{'PER': '없음', 'ORG': '서울대학교', 'LOC': '없음'}"
낙성대아파트 용적률은 얼마야?	 ,"{'PER': '없음', 'ORG': '낙성대아파트', 'LOC': '없음'}"
반포자이아파트의 제공하는 편의시설에는 어떤게 있어?	 ,"{'PER': '없음', 'ORG': '반포자이아파트', 'LOC': '없음'}"
전주아파트는 복도식이야 계단식이야?	 ,"{'PER': '없음', 'ORG': '전주아파트', 'LOC': '없음'}"
안성아파트는 개별난방이야 중앙난방이야?	 ,"{'PER': '없음', 'ORG': '안성아파트', 'LOC': '없음'}"
홍대아파트는 지하주차장이 있어?	 ,"{'PER': '없음', 'ORG': '홍대아파트', 'LOC': '지하주차장'}"
인사동의 월세가 가장 저렴한 아파트는 어디야?	,"{'PER': '없음', 'ORG': '없음', 'LOC': '인사동'}"
20대가 많이 거주하는 강남구는?	 ,"{'PER': '없음', 'ORG': '강남구', 'LOC': '없음'}"
교통사고가 많이 나는 동탄은?	 ,"{'PER': '없음', 'ORG': '없음', 'LOC': '동탄'}"
범죄율이 높은 관악구는?	 ,"{'PER': '없음', 'ORG': '없음', 'LOC': '관악구'}"
화성롯데캐슬아파트의 가까운 병원는?	 ,"{'PER': '없음', 'ORG': '화성롯데캐슬아파트', 'LOC': '없음'}"
부산해운대의 가까운 공원는?,"{'- PER': '없음', '- ORG': '없음', '- LOC': '부산, 해운대, 공원'}"
